test,npc_count,metric,value
npc_gradient_10,10,fps_avg,144.91
npc_gradient_10,10,process_time_us_p50,0.6
npc_gradient_10,10,process_time_us_p95,2.6
npc_gradient_10,10,process_time_us_p99,5.3
npc_gradient_10,10,physics_time_us_p50,0.4
npc_gradient_10,10,physics_time_us_p95,1.6
npc_gradient_10,10,physics_time_us_p99,11.6
npc_gradient_10,10,fps_min,144.0
npc_gradient_10,10,spike_frequency,0.0
npc_gradient_10,10,memory_end_bytes,295822719
npc_gradient_50,50,fps_avg,144.91
npc_gradient_50,50,process_time_us_p50,0.5
npc_gradient_50,50,process_time_us_p95,1.3
npc_gradient_50,50,process_time_us_p99,4.0
npc_gradient_50,50,physics_time_us_p50,0.4
npc_gradient_50,50,physics_time_us_p95,2.4
npc_gradient_50,50,physics_time_us_p99,6.1
npc_gradient_50,50,fps_min,144.0
npc_gradient_50,50,spike_frequency,0.0
npc_gradient_50,50,memory_end_bytes,297443127
npc_gradient_100,100,fps_avg,144.91
npc_gradient_100,100,process_time_us_p50,0.7
npc_gradient_100,100,process_time_us_p95,1.4
npc_gradient_100,100,process_time_us_p99,1.7
npc_gradient_100,100,physics_time_us_p50,0.4
npc_gradient_100,100,physics_time_us_p95,1.1
npc_gradient_100,100,physics_time_us_p99,1.5
npc_gradient_100,100,fps_min,144.0
npc_gradient_100,100,spike_frequency,0.0
npc_gradient_100,100,memory_end_bytes,299569199
npc_gradient_300,300,fps_avg,144.94
npc_gradient_300,300,process_time_us_p50,1.1
npc_gradient_300,300,process_time_us_p95,3.3
npc_gradient_300,300,process_time_us_p99,5.4
npc_gradient_300,300,physics_time_us_p50,0.4
npc_gradient_300,300,physics_time_us_p95,0.7
npc_gradient_300,300,physics_time_us_p99,6.2
npc_gradient_300,300,fps_min,144.0
npc_gradient_300,300,spike_frequency,0.0
npc_gradient_300,300,memory_end_bytes,307892715
api_latency,,samples,60
api_latency,,avg_ms,10.83
api_latency,,p50_ms,11.96
api_latency,,p95_ms,15.66
api_latency,,p99_ms,15.9
api_latency,,min_ms,1.86
api_latency,,max_ms,15.9
smoke_G2,,duration_sec,4.37
smoke_G3,,duration_sec,1.08
smoke_G4,,duration_sec,5.39
json_load_dialogues,,cold_load_us,224
json_load_dialogues,,parse_us,128
json_load_dialogues,,hot_load_us,31
json_load_quests,,cold_load_us,150
json_load_quests,,parse_us,111
json_load_quests,,hot_load_us,30
json_load_npcs,,cold_load_us,98
json_load_npcs,,parse_us,61
json_load_npcs,,hot_load_us,22
json_load_locations,,cold_load_us,127
json_load_locations,,parse_us,50
json_load_locations,,hot_load_us,21
json_load_api_config,,cold_load_us,127
json_load_api_config,,parse_us,29
json_load_api_config,,hot_load_us,19
