request_id,mode,timestamp,total_us,serialize_us,send_us,parse_us,callback_us,fallback_reason
bench_1,mock,1779954960,18,0,0,0,0,
bench_2,mock,1779954960,6,0,0,0,0,
bench_3,mock,1779954960,11,0,0,0,0,
bench_4,mock,1779954960,8,0,0,0,0,high_risk_keyword
bench_5,mock,1779954960,21,0,0,0,0,
bench_6,mock,1779954960,12,0,0,0,0,
bench_7,mock,1779954960,16,0,0,0,0,
bench_8,mock,1779954960,19,0,0,0,0,
bench_9,mock,1779954960,10,0,0,0,0,
bench_10,mock,1779954960,20,0,0,0,0,
bench_11,mock,1779954960,12,0,0,0,0,
bench_12,mock,1779954960,8,0,0,0,0,high_risk_keyword
bench_13,mock,1779954960,14,0,0,0,0,
bench_14,mock,1779954960,10,0,0,0,0,
bench_15,mock,1779954961,32,0,0,0,0,
bench_16,mock,1779954961,12,0,0,0,0,
bench_17,mock,1779954961,11,0,0,0,0,
bench_18,mock,1779954961,15,0,0,0,0,
bench_19,mock,1779954961,14,0,0,0,0,
bench_20,mock,1779954961,9,0,0,0,0,high_risk_keyword
bench_21,mock,1779954961,41,0,0,0,0,
bench_22,mock,1779954961,13,0,0,0,0,
bench_23,mock,1779954961,16,0,0,0,0,
bench_24,mock,1779954961,11,0,0,0,0,
bench_25,mock,1779954961,13,0,0,0,0,
bench_26,mock,1779954961,16,0,0,0,0,
bench_27,mock,1779954961,12,0,0,0,0,
bench_28,mock,1779954961,7,0,0,0,0,high_risk_keyword
bench_29,mock,1779954961,18,0,0,0,0,
bench_30,mock,1779954961,13,0,0,0,0,
